Title,Licensee,Released
Rival Turf!,Jaleco,1992-04-01
Road Riot 4WD,THQ,1992-11-01
Road Runner's Death Valley Rally,Sunsoft,1992-11-01
RoboCop 3,Ocean,1992-09-01
RoboCop versus the Terminator,Virgin Interactive,1993-11-01
Robotrek,Enix,1994-10-01
Rock 'N Roll Racing,Interplay,1993-09-01
"Rocketeer, The",IGS,1992-05-01
Rocko's Modern Life: Spunky's Dangerous Day,Viacom New Media,1994-04-01
Rocky Rodent,Irem,1993-09-01
Roger Clemens' MVP Baseball,LJN,1992-09-01
Romance of the Three Kingdoms II,Koei,1992-05-01
Romance of the Three Kingdoms III: Dragon of Destiny,Koei,1993-12-01
Romance of the Three Kingdoms IV: Wall of Fire,Koei,1995-07-01
RPM Racing,Interplay,1991-11-01
R-Type III: The Third Lightning,Jaleco,1994-10-01
Run Saber,Atlus Software,1993-09-01
S.O.S.,Vic Tokai,1994-04-01
S.O.S. Sink or Swim,Titus,1996-01-01
S.W.A.T. Kats: The Radical Squadron,Hudson Soft,1995-08-01
Samurai Shodown,Takara,1994-11-01
Saturday Night Slam Masters,Capcom,1994-06-01
Scooby Doo,Majesco,1995-11-01
SeaQuest: DSV,Malibu Games,1995-01-01
Secret of Evermore,Square Soft,1995-10-01
Secret of Mana,Square Soft,1993-10-01
Shadowrun,Data East,1993-05-01
Shanghai II: Dragon's Eye,Activision,1993-02-01
Shaq Fu,Electronic Arts,1994-10-01
Shien's Revenge,Vic Tokai,1994-10-01
Sid Meier's Civilization,Koei,1995-11-01
Side Pocket,Data East,1993-12-01
SimAnt: The Electronic Ant Colony,Maxis Software,1993-10-01
SimCity,Nintendo,1991-08-01
SimCity 2000,Black Pearl Software,1996-11-01
SimEarth: The Living Planet,FCI,1993-02-01
"Simpsons: Bart's Nightmare, The",Acclaim,1992-09-01
"Simpsons: Virtual Bart, The",Acclaim,1994-09-01
Sküljagger: Revolt of the Westicans,American Softworks,1992-10-01
Skyblazer,Sony Imagesoft,1994-01-01
SmartBall,Sony Imagesoft,1992-03-01
Snow White: Happily Ever After,American Softworks,1994-10-01
Soldiers of Fortune,Spectrum Holobyte,1993-12-01
Sonic Blastman,Taito Software,1993-02-01
Sonic Blastman 2,Taito Software,1994-11-01
Soul Blazer,Enix,1992-08-01
Space Ace,Absolute,1994-05-01
Space Football: One on One,Triffix,1992-06-01
Space Invaders,Nintendo,1997-11-01
Space Megaforce,Toho,1992-10-01
Spanky's Quest,Natsume,1992-07-01
Sparkster,Konami,1994-10-01
Spawn,Acclaim,1995-10-01
Spectre,Cybersoft,1994-05-01
Speed Racer: In My Most Dangerous Adventures,Accolade,1994-11-01
Speedy Gonzales: Los Gatos Bandidos,Majesco,1995-08-01
Spider-Man & Venom: Maximum Carnage,Acclaim,1994-09-01
Spider-Man & Venom: Separation Anxiety,Acclaim,1995-11-01
Spider-Man & X-Men: Arcade's Revenge,Majesco,1992-11-01
Spider-Man: The Animated Series,Acclaim,1995-02-01
Spindizzy Worlds,Ascii,1993-03-01
"Sporting News Baseball, The",Hudson Soft,1995-06-01
Sports Illustrated: Championship Football & Baseball,Malibu Games,1994-02-01
Star Fox,Nintendo,1993-03-01
Star Trek: Deep Space Nine - Crossroads of Time,Playmates,1995-09-01
Star Trek: Starfleet Academy (Starship Bridge Simulator),Interplay,1994-12-01
Star Trek: The Next Generation,Spectrum Holobyte,1994-03-01
Stargate,Acclaim,1995-04-01
Steel Talons,Left Field Ent.,1993-11-01
Sterling Sharpe: End 2 End,Jaleco,1995-03-01
Stone Protectors,Kemco,1994-11-01
Street Combat,Irem,1993-04-01
Street Fighter Alpha 2,Nintendo,1996-11-01
Street Fighter II Turbo: Hyper Fighting,Capcom,1993-08-01
Street Fighter II: The World Warrior,Majesco,1992-07-01
Street Hockey '95,GTE,1994-11-01
Street Racer,UBI Soft,1994-12-01
Strike Gunner: S.T.G.,NTVIC,1992-08-01
Stunt Race FX,Nintendo,1994-07-01
Sunset Riders,Konami,1993-10-01
Super Adventure Island,Hudson Soft,1992-04-01
